,county,county key,state,number agents,radiation,population density,mean income tax
359,Dessau-Roßlau,15001,15.0,14827.0,1130.8,327,4.606118920124945
360,Görlitz,14626,14.0,59008.0,1178.0,120,3.5990071503392995
361,Hohenlohekreis,8126,8.0,24973.0,1183.8,145,7.54853988541975
362,Tuttlingen,8327,8.0,31464.0,1217.8,192,7.731346546196443
363,Freising,9178,9.0,33647.0,1243.2,225,8.24827637412758
364,Garmisch-Partenkirchen,9180,9.0,16453.0,1258.0,87,7.0075770925110135
365,Lichtenfels,9478,9.0,18062.0,1148.2,128,5.032750179125866
366,Miesbach,9182,9.0,20620.0,1197.8,115,10.640555833557872
367,Neustadt an der Waldnaab,9374,9.0,26447.0,1162.8,66,5.939702360588437
368,Kassel,6633,6.0,62683.0,1062.0,183,5.839018063441073
369,Odenwaldkreis,6437,6.0,25183.0,1140.8,155,5.347951867846212
370,Wiesbaden,6414,6.0,28563.0,1150.4,1366,9.154436818451032
371,Vorpommern-Rügen,13073,13.0,50323.0,1118.4,70,4.2161131673680465
372,Holzminden,3255,3.0,20604.0,1063.4,101,4.931382772696124
373,Bonn,5314,5.0,42989.0,1088.6,2337,9.338991366995838
374,Paderborn,5774,5.0,62672.0,1039.4,247,6.536083637055785
375,Ahrweiler,7131,7.0,37491.0,1077.2,165,6.037192018236892
376,Donnersbergkreis,7333,7.0,23266.0,1154.0,117,5.698015411053827
377,Meißen,14627,14.0,49427.0,1152.8,166,5.060851365928767
378,Plön,1057,1.0,37375.0,1059.2,119,6.22571543732366
379,Stormarn,1062,1.0,58728.0,1052.2,319,8.618342343231879
380,Altenburger Land,16077,16.0,19239.0,1138.6,157,3.80816664160024
381,Jena,16053,16.0,10338.0,1110.8,970,6.01789829466892
382,Enzkreis,8236,8.0,47749.0,1176.8,348,7.96515844396543
383,Karlsruhe,8212,8.0,28786.0,1179.6,1799,7.7150656785273535
384,Ostalbkreis,8136,8.0,68836.0,1175.4,208,7.27800586879589
385,Aschaffenburg,9671,9.0,42732.0,1144.2,249,8.02517361111111
386,Kaufbeuren,9762,9.0,7146.0,1221.4,1109,5.701657973174367
387,Landsberg am Lech,9181,9.0,29046.0,1238.0,150,9.26401008659876
388,Mühldorf am Inn,9183,9.0,26597.0,1235.0,144,6.634648791872117
389,Cottbus,12052,12.0,10925.0,1172.2,602,4.621543096954698
390,Hersfeld-Rotenburg,6632,6.0,33761.0,1091.6,110,4.907002999359686
391,Wetteraukreis,6440,6.0,68656.0,1137.6,280,7.763229276199024
392,Hagen,5914,5.0,21873.0,1064.2,1176,5.38304201024416
393,Mülheim an der Ruhr,5117,5.0,23033.0,1105.4,1869,8.359705690877155
394,Trier-Saarburg,7235,7.0,44097.0,1150.2,136,5.448921241345203
395,Saarpfalz-Kreis,10045,10.0,43408.0,1182.8,340,6.448460621361947
396,Altmarkkreis Salzwedel,15081,15.0,24213.0,1109.0,36,4.251961818509275
397,Anhalt-Bitterfeld,15082,15.0,40902.0,1127.4,109,3.9634988580571933
398,Börde,15083,15.0,48260.0,1121.0,72,5.050582824018651
399,Mittelsachsen,14522,14.0,67223.0,1129.2,144,4.127533163375535
400,Erfurt,16051,16.0,20311.0,1111.0,793,5.209551355220646
