,county,county key,state,number agents,radiation,population density,mean income tax
239,Gotha,16067,16.0,30268.0,1101.6,144,4.3289979966292504
240,Hildburghausen,16069,16.0,17238.0,1120.2,67,4.0158761142559705
241,Sömmerda,16068,16.0,19432.0,1112.4,86,4.302447663019417
242,Heidenheim,8135,8.0,30174.0,1197.8,212,6.222391068849302
243,Rastatt,8216,8.0,45961.0,1167.8,313,6.88116992539778
244,Reutlingen,8415,8.0,59130.0,1195.4,263,7.504477218856993
245,Tübingen,8416,8.0,40310.0,1191.6,441,8.060623234558571
246,Ulm,8421,8.0,15210.0,1214.0,1068,8.768329074020231
247,Donau-Ries,9779,9.0,35176.0,1210.0,105,7.030422642281772
248,Neustadt an der Aisch-Bad Windsheim,9575,9.0,26671.0,1188.2,80,5.940488083345226
249,Frankfurt am Main,6412,6.0,47290.0,1147.0,3074,10.28689117117889
250,Hochtaunuskreis,6434,6.0,45984.0,1128.0,492,15.78268794248441
251,Cuxhaven,3352,3.0,61274.0,1021.2,96,5.615199846272098
252,Nienburg (Weser),3256,3.0,33926.0,1067.8,87,5.152028672837358
253,Gelsenkirchen,5513,5.0,24043.0,1099.4,2474,4.550343719644325
254,Eifelkreis Bitburg-Prüm,7232,7.0,33214.0,1111.8,61,4.837034720050047
255,Jerichower Land,15086,15.0,25889.0,1118.8,57,4.852991620522371
256,Rems-Murr-Kreis,8119,8.0,73344.0,1188.0,498,7.9223872939085345
257,Ingolstadt,9161,9.0,21698.0,1228.6,1030,9.462741708374576
258,Kempten (Allgäu),9763,9.0,7553.0,1192.0,1093,5.940284118297559
259,Neuburg-Schrobenhausen,9185,9.0,23988.0,1225.6,132,7.089907168854537
260,Straubing,9263,9.0,8376.0,1224.0,707,6.6005620569606975
261,Brandenburg an der Havel,12051,12.0,9055.0,1130.2,314,4.0625596639725075
262,Frankfurt (Oder),12053,12.0,5996.0,1155.2,391,4.1027389254685005
263,Vorpommern-Greifswald,13075,13.0,47884.0,1072.4,60,4.19715625623628
264,Zweibrücken,7320,7.0,7950.0,1180.6,484,5.2555244319950205
265,Rendsburg-Eckernförde,1058,1.0,78657.0,1032.6,125,6.88607819266154
266,Schleswig-Flensburg,1059,1.0,60704.0,1024.8,97,5.77247457477553
267,Heilbronn,8125,8.0,75779.0,1191.0,313,8.078565428411425
268,Bayreuth,9462,9.0,10069.0,1155.2,1118,6.520109984904032
269,München,9184,9.0,57219.0,1230.0,528,14.416635260632587
270,Starnberg,9188,9.0,28936.0,1232.4,280,17.901189309007204
271,Traunstein,9189,9.0,39957.0,1231.4,116,6.8827686975432405
272,Oberspreewald-Lausitz,12066,12.0,24092.0,1184.2,89,3.853990228013029
273,Potsdam-Mittelmark,12069,12.0,55151.0,1130.0,84,7.4247635339102445
274,Darmstadt,6411,6.0,16901.0,1157.4,1310,8.087749922624575
